我想去金星路怎么走	3350635.225720807	511599.2831689114	780
曲荷巷偏西黄龙停车场出入口	3351047.550253046	512395.620779861	1000
虎山公园附近田园春晓苑1座	3360238.775095969	520421.51180450874	3625
文三西路西侧停车场	3350896.8622285496	508777.8565197688	2845
西湖博物馆西北处散客侯船处	3355477.416827911	525543.7299278402	455
新塘路东面人民检察院(南门)	3352178.4433726943	519204.1297408041	2530
东仁堂医药连锁(红五月店南侧银沙市场北大门	3353752.102016578	533672.3482169702	2610
古墩路东侧康乐新村西门	3338090.159951656	523090.61524388666	3080
华中路西侧教科所小学	3343024.7276714467	514601.9485296117	2685
之江路与清江路交叉路口西南380米近江住宅区世纪坊小区10幢	3313162.3235227093	432987.04237562686	1075
汇和城购物中心北区正东对面红街公寓楼	3373571.7786518605	518044.1694245015	1790
马市街东边4号楼	3243826.671447958	413189.81693920586	210
江虹路东边地下停车点	3341438.3959353	519768.2039510006	485
之江路北侧近江住宅区世纪坊10号楼	3350353.7188348607	516099.57295989763	405
杭州首创奥特莱斯内锐步(奥特莱斯)	3353056.068156771	517734.3327530342	2455
三坝巷与尚园街交叉口向北滨江紫金府小区10栋	3353574.1650641044	509813.343662398	2010
庙渔段附近新农村文化传播中心	3323177.180896797	498746.60860339756	1720
康荣公寓北边公寓	3341016.8686838592	520918.9265936884	765
赵公堤支路与赵公堤路交叉口东北方向金沙曲小区	3352162.8055714215	519297.61588458996	1990
紫金文苑 (方家中路)北边停车处	3351786.761621153	511429.1689919013	1460
新安公园东南方向光德1幢	3339195.058536342	526676.7068450671	1485
蜀山道卧街城蜀山化文艺术团北侧西北门	3353433.1808092697	544380.3704648067	1605
滨和路以南长河马路	3342071.7621441246	517688.3234613636	4045
建兰中学附近袁井花园小区	3367387.107047587	513028.641291963	980
杭州启富运输有限公司北侧华地下停车场出(入口)	3356000.9109980827	506322.1773601013	3245
吴山前农贸市场西北方仓前农业资料公司	3355325.83693793	497066.2815586417	3920
学林街1712克亚时代广场写字大楼(南门)	3354931.9470774187	529833.8987736026	4075
学院路向西翠苑街道社区卫生服务中心	3352430.789168036	511582.88163208263	4985
中国农业银行(枫华支行)附近房屋中介	3351185.40629672	513428.71373166057	3050
怡乐银座周围农行24小时自助银行	3351560.703977486	515414.01072901004	0
新大集团大厦周围新大集团大厦内部停车点(出入口)	3343422.3021299713	519057.18754397426	3460
241县道北面住宅区东南门	3359055.394873315	527483.7081318405	2510
中国科学院大学附属肿瘤医院西南侧田园准物业管理服务中心	3359056.1413068124	518737.5231910207	1970
中国计量大学仰仪中附近南楼西门	3355582.91670807	534699.118593941	2720
浣纱路西侧徐宅小区	3343542.6433149893	519493.34985735384	515
嘉元广场南面紫园-2幢	3336956.030122822	526019.8806462946	610
灯塔公寓(西门)对面石公寓停车	3355123.2351344833	516652.48482800374	3910
闸弄口地铁站D口往东南走90米后左转50米的右手边那栋	3354891.7014382156	527397.6287872496	4085
秀水街北侧小区南门	3339223.246842	524208.7959069071	4900
1号大街与6号大街交叉口往东南方向大概走300米就以到了	3353977.5771554243	531775.5288797116	660
跑马场巷与杭大路交叉口东北方向西区分局治安管理西门)	3350812.4652311746	512729.04771762574	935
万泰ə城东面国际C幢	3345601.488237944	518149.02739243174	1335
红旗河绿道南锦文雅苑东区1号楼	3356666.4663357507	511217.40498687816	1635
浙江师范大学杭D州幼儿师范学西南侧省总工会干学校教学大楼	3350880.3956511025	512682.4722487444	35
文岚街与通益路交叉路口西南方向文澜地上停车场	3356383.30665618	511342.4029582901	3930
德胜路和德胜巷交叉口北海王星辰	3352230.294338298	514834.94590459706	30
山水人家诗家谷对街公寓3幢	3350990.959574876	509591.87657051394	4350
画乐堂南面德信6幢	3341371.6077732025	514798.1080233517	415
竞舟路与莲花街交叉口西南方向140米停车库	3350257.4955803035	509182.7081031339	4095
藕舫南路以西 浙大图书馆东南门	3354679.190143719	507613.56084080617	4815
密渡桥路与湖墅南路交叉口附近2号院停车库(出入口)	3350113.241380337	514709.52476896753	1480
湖墅公园向北树林3栋	3323559.7964734305	496579.24447009724	440
半山国家森林公园绿道南面杭钢北苑小区69号楼	3359214.2695265575	517926.64826228976	3285
毓秀家园西面杭州市余杭区商贸职高学校	3353101.8953460245	528964.6328371539	2880
晨晖路北边半岛花园27幢楼	3335815.252181175	524418.1027754217	2725
中国进出口银行西北方向社区	3334551.2032386865	507726.1944014989	2040
中交财富大厦东北侧和睦警察局	3353717.5210026396	512061.3067050038	2135
杭州市大关中学郭家厍小区东北方向锦文雅苑东区1号楼	3347666.2139074113	517673.77629796386	3295
六和路偏西美足修脚店贺田商城店	3339700.0755526046	512342.10587572487	1615
青蜂餐厅东南角健身中心东南	3341876.571205262	518027.80404067744	655
江汉路和江南大道交叉口地铁站台	3343463.977197275	519151.03418351687	160
打石漾路东港虹西路杭州蔬菜批发交易市场	3362409.26836696	509544.6247914749	910
中河高架庆W春路交叉口东南190米棋牌室	3349207.837794131	517024.1585920998	1940
东新路东侧影城售票处	3354829.954700858	535286.7157911734	370
南都.江滨花园西对面公寓2栋	3338419.7539507803	528823.3738394247	295
白章线东侧建德南峰线	3266347.948661239	451192.83548775717	4670
绿城.西溪世纪中心西面天街	3352255.778431942	506361.93076991284	3535
杭州少年儿童公园东侧四眼井	3344298.4755673422	512659.98880158766	3615
杭州润驾校(水澄桥训练场)周围小区南东南2门	3343193.7901112232	514540.7795698967	1180
御江苑西面5栋	3340844.6823740853	515975.82430370385	3095
新科街南侧中国农业银行(高科技企业孵化园支行）	3354171.6312200655	534969.2302449532	2930
峙山公园东南方向湾越酒店	3324985.9150526277	523937.5530561946	340
迎春南路东北方向梧桐府西区	3333774.091462873	437474.31039246864	1565
皮市巷129号郑远元专业袖脚房皮市巷店	3348427.9697140176	515889.5111695694	4290
华宸不锈钢旁边美容养生馆	3331640.8928137175	522398.8308970882	1630
益乐路西方西区4号	3352119.548699434	519225.9384378466	1690
文三路以北钱江科技大厦东出口	3351776.860820575	512538.53224760096	4775
科园路东南向纳德停车场出口	3356916.882907068	514950.5325819411	3340
肇耕轩南对面附属中学学校	3347337.1370310527	529641.0370780643	4325
10号大街和19号大街交叉口西250米杭州经开区东部厂区(南2门	3253769.1016887412	405519.36049608525	25
世纪大道西与望梅路交叉口新苑13幢	3363673.2325992887	526724.8887652239	4920
诚信装饰材料商行附近建设有限公司委员会	3350479.358531943	494134.3627083453	1235
叶青兜路与湖墅南路交叉口东北角150米社区停车口	3352026.6127298377	513641.2930357466	615
龙浦街有与恩波大道交叉路口东南230米商业城	3351454.8427077704	513879.09229075204	4520
杭州红利板材经营部对面柴校住宅	3355342.932072258	515525.31507966685	4515
清泰街辅路南边酒店	3348093.82444431	517329.3472165014	3620
市民街东南向钱江国际时代大楼	3347058.7593187	518375.0584430451	860
华鑫汽车养护中心东北方向栖凤南苑15东	3354860.8383347583	531018.3481102434	3770
杭州康民搭药房(萧杭路店)对街盐业萧山分公司配送中心1栋	3339936.9245123155	514492.3055444377	2885
浙江大学嬉戏校区篮球场对面教育商超	3351178.5100738397	513384.538795031	1005
广宏路西侧国际大楼	3356339.4730244107	511520.33850403456	525
万科·名城博园西北角勾庄中心幼儿园肇和分园东南门	3361973.3276969353	509333.6316343601	4800
迎春路128金色年华	3299221.9576439396	468696.243915896	20
南湖东路东侧栖凤南苑15单元楼	3348666.2700349675	493948.4818746814	4545
千岛湖风景区里面淳安光大环保能源有限公司	3350102.1367306877	511778.76150506304	345
游龙港桥西北290米联合畔上居8栋	3360265.991214294	519897.1368273319	4440
文新幼儿园东面湖畔花园太子院59幢	3351823.633753305	504918.05884577666	60
浙江万胜运河钢缆有限公司旁边塘栖园区	3352749.618046088	533949.8301348679	3345
滨和路与春晓路交叉路口南130米我爱我家房屋中介(东方郡点)	3350952.396285416	508777.8078260581	2080
黄姑山横面南路停车处	3351402.669371528	512588.8517088639	3415
从新康路与通广路交叉口向正南方向直行约150米广德小区1幢	3339842.6942585045	526809.9422418592	2185
竞舟路220号花苑8号楼	3351282.4356218767	508847.6162591113	2875
广瑞·瑞城花园温莎郡旁边小区西北2门	3355011.477392939	531192.7863171024	2935
景洲公寓对面胖子烧烤餐馆	3356246.033015927	518984.2823896493	2280
江陵路1740号骏宝宝马5S店	3361852.6158586703	531587.9113973868	885
花芸春境府西北方向停车场门口	3350792.753606438	508742.89828226756	1265
